Time,RPM,MPH,Throttle,Load,Gear
17:21:53.757665,770,0.0,10.9803921569,33.7254901961,0
17:21:53.877777,766,0.0,10.9803921569,33.7254901961,0
17:21:53.997615,771,0.0,10.9803921569,33.7254901961,0
17:21:54.117525,771,0.0,10.9803921569,33.7254901961,0
17:21:54.237710,772,0.0,10.9803921569,34.1176470588,0
17:21:54.357523,760,0.0,10.9803921569,34.1176470588,0
17:21:54.477966,770,0.0,10.9803921569,34.1176470588,0
17:21:54.597559,770,0.0,10.9803921569,34.1176470588,0
17:21:54.717660,769,0.0,10.9803921569,34.1176470588,0
17:21:54.837744,763,0.0,10.9803921569,34.1176470588,0
17:21:54.957803,772,0.0,10.9803921569,34.1176470588,0
17:21:55.77618,775,0.0,10.9803921569,34.1176470588,0
17:21:55.197737,765,0.0,10.9803921569,34.5098039216,0
17:21:55.317584,784,0.0,10.9803921569,34.5098039216,0
17:21:55.437449,780,0.0,10.9803921569,34.5098039216,0
17:21:55.557527,781,0.0,10.9803921569,34.5098039216,0
17:21:55.677653,784,0.0,10.9803921569,34.5098039216,0
17:21:55.797722,778,0.0,10.9803921569,34.5098039216,0
17:21:55.917876,776,0.0,10.9803921569,34.1176470588,0
17:21:56.37693,779,0.0,10.9803921569,34.1176470588,0
17:21:56.157469,782,0.0,10.9803921569,34.1176470588,0
17:21:56.277315,784,0.0,10.9803921569,34.1176470588,0
17:21:56.397634,792,0.0,10.9803921569,34.1176470588,0
17:21:56.517508,792,0.0,10.9803921569,34.1176470588,0
17:21:56.637703,781,0.0,10.9803921569,33.7254901961,0
17:21:56.757511,783,0.0,10.9803921569,33.7254901961,0
17:21:56.877622,778,0.0,10.9803921569,33.7254901961,0
17:21:56.997449,774,0.0,10.9803921569,33.7254901961,0
17:21:57.117957,775,0.0,10.9803921569,33.7254901961,0
17:21:57.237397,766,0.0,10.9803921569,34.1176470588,0
17:21:57.357844,772,0.0,10.9803921569,34.1176470588,0
17:21:57.477653,772,0.0,10.9803921569,34.1176470588,0
17:21:57.597714,772,0.0,10.9803921569,34.1176470588,0
17:21:57.717602,773,0.0,10.9803921569,34.1176470588,0
17:21:57.838053,759,0.0,10.9803921569,34.5098039216,0
17:21:57.957906,772,0.0,10.9803921569,34.5098039216,0
17:21:58.77995,771,0.0,10.9803921569,34.1176470588,0
17:21:58.197842,774,0.0,10.9803921569,34.1176470588,0
17:21:58.317934,770,0.0,10.9803921569,34.1176470588,0
17:21:58.437608,781,0.0,10.9803921569,34.1176470588,0
17:21:58.557636,772,0.0,10.9803921569,34.1176470588,0
17:21:58.677413,758,0.0,10.9803921569,34.5098039216,0
17:21:58.797578,775,0.0,10.9803921569,34.5098039216,0
17:21:58.917355,780,0.0,10.9803921569,34.1176470588,0
17:21:59.37483,774,0.0,10.9803921569,34.1176470588,0
17:21:59.157818,769,0.0,10.9803921569,34.1176470588,0
17:21:59.277689,774,0.0,10.9803921569,34.1176470588,0
17:21:59.397909,769,0.0,10.9803921569,34.1176470588,0
17:21:59.517941,769,0.0,10.9803921569,34.1176470588,0
