Time,RPM,MPH,Throttle,Load,Gear
8:3:52.639093,1033,0.0,12.1568627451,31.3725490196,0
8:3:52.759199,1035,0.0,12.1568627451,30.9803921569,0
8:3:52.879044,1060,0.0,12.1568627451,30.9803921569,0
8:3:53.1577,1056,0.0,12.1568627451,30.5882352941,0
8:3:53.118989,1056,0.0,12.1568627451,30.5882352941,0
8:3:53.239136,1055,0.0,12.1568627451,30.5882352941,0
8:3:53.358951,1033,0.0,12.1568627451,30.9803921569,0
8:3:53.479089,1031,0.0,12.1568627451,30.9803921569,0
8:3:53.602545,1037,0.0,12.1568627451,30.9803921569,0
8:3:53.719038,1057,0.0,12.1568627451,30.5882352941,0
8:3:53.839180,1055,0.0,12.1568627451,30.1960784314,0
8:3:53.959317,1053,0.0,12.1568627451,30.1960784314,0
8:3:54.83252,1053,0.0,12.1568627451,30.1960784314,0
8:3:54.201505,1045,0.0,12.1568627451,30.1960784314,0
8:3:54.318928,1031,0.0,12.1568627451,30.5882352941,0
8:3:54.439061,1033,0.0,12.1568627451,30.5882352941,0
8:3:54.559139,1038,0.0,12.1568627451,30.5882352941,0
8:3:54.679052,1030,0.0,12.1568627451,30.5882352941,0
8:3:54.801659,1018,0.0,12.1568627451,30.9803921569,0
8:3:54.918982,984,0.0,12.1568627451,31.3725490196,0
8:3:55.39755,1003,0.0,12.1568627451,31.3725490196,0
8:3:55.160184,1019,0.0,12.1568627451,31.3725490196,0
8:3:55.279310,1025,0.0,12.1568627451,30.9803921569,0
8:3:55.401268,1037,0.0,12.1568627451,30.9803921569,0
8:3:55.519523,1050,0.0,12.1568627451,30.5882352941,0
8:3:55.639953,1034,0.0,12.1568627451,30.5882352941,0
8:3:55.759436,1035,0.0,12.1568627451,30.5882352941,0
8:3:55.879149,1019,0.0,12.1568627451,30.9803921569,0
8:3:56.1667,1015,0.0,12.1568627451,30.9803921569,0
8:3:56.119401,1017,0.0,12.1568627451,30.9803921569,0
8:3:56.240168,1018,0.0,12.1568627451,30.9803921569,0
8:3:56.359270,1030,0.0,12.1568627451,30.9803921569,0
8:3:57.204797,1022,0.0,12.1568627451,30.5882352941,0
8:22:23.526593,743,0.0,9.80392156863,22.7450980392,0
8:22:23.632215,750,0.0,9.80392156863,22.7450980392,0
8:22:23.752575,740,0.0,9.80392156863,23.137254902,0
8:22:23.872129,752,0.0,9.80392156863,23.137254902,0
8:22:23.993238,748,0.0,9.80392156863,23.137254902,0
8:22:24.115834,752,0.0,9.80392156863,22.7450980392,0
8:22:24.232409,756,0.0,9.80392156863,22.7450980392,0
8:22:24.352324,754,0.0,9.80392156863,22.7450980392,0
8:22:24.472266,756,0.0,9.80392156863,22.7450980392,0
8:22:24.593146,754,0.0,9.80392156863,22.7450980392,0
8:22:24.716187,757,0.0,9.80392156863,22.7450980392,0
8:22:24.832390,765,0.0,9.80392156863,22.7450980392,0
8:22:24.952734,760,0.0,9.80392156863,22.7450980392,0
8:22:25.72289,753,0.0,9.80392156863,22.7450980392,0
8:22:25.192727,761,0.0,9.80392156863,22.7450980392,0
8:22:25.316276,750,0.0,9.80392156863,22.7450980392,0
8:22:25.432188,760,0.0,9.80392156863,22.7450980392,0
8:22:25.552983,752,0.0,9.80392156863,22.3529411765,0
8:22:25.672357,750,0.0,9.80392156863,22.3529411765,0
8:22:25.793235,760,0.0,9.80392156863,22.3529411765,0
8:22:25.916089,757,0.0,9.80392156863,22.3529411765,0
8:22:26.32507,754,0.0,9.80392156863,22.3529411765,0
8:22:26.152609,752,0.0,9.80392156863,22.3529411765,0
8:22:26.272025,749,0.0,9.80392156863,22.3529411765,0
8:22:26.393013,754,0.0,9.80392156863,22.3529411765,0
8:22:26.516513,746,0.0,9.80392156863,22.3529411765,0
8:22:26.632375,753,0.0,9.80392156863,22.3529411765,0
8:22:26.752086,747,0.0,9.80392156863,22.3529411765,0
8:22:26.872330,748,0.0,9.80392156863,22.3529411765,0
8:22:26.993399,756,0.0,9.80392156863,22.3529411765,0
8:22:27.115584,752,0.0,9.80392156863,22.3529411765,0
8:22:27.232333,756,0.0,9.80392156863,22.3529411765,0
8:22:27.352468,755,0.0,9.80392156863,22.3529411765,0
8:22:27.472322,755,0.0,9.80392156863,22.3529411765,0
8:22:27.593116,752,0.0,9.80392156863,22.3529411765,0
8:22:27.715302,745,0.0,9.80392156863,22.3529411765,0
8:22:27.832071,756,0.0,9.80392156863,22.3529411765,0
8:22:27.952532,747,0.0,9.80392156863,22.3529411765,0
8:22:28.72211,746,0.0,9.80392156863,22.3529411765,0
8:22:28.193277,755,0.0,9.80392156863,22.3529411765,0
8:22:28.315520,754,0.0,9.80392156863,22.3529411765,0
8:22:28.432220,755,0.0,9.80392156863,22.3529411765,0
8:22:28.553079,748,0.0,9.80392156863,22.3529411765,0
8:22:28.673545,750,0.0,9.80392156863,22.3529411765,0
8:22:28.793351,742,0.0,9.80392156863,22.3529411765,0
8:22:28.914627,746,0.0,9.80392156863,22.3529411765,0
8:22:29.32250,748,0.0,9.80392156863,22.3529411765,0
8:22:29.152846,752,0.0,9.80392156863,22.3529411765,0
